key,en-US,es-AR,ja-JP
title_menu_label,Name of the Game,Nombre del Juego,ゲーム名
title_menu_button_0,Start,Comenzar,開始
title_menu_button_1,Options,Opciones,オプション
title_menu_button_2,Credits,Créditos,クレジット
title_menu_button_3,Quit Game,Salir del Juego,ゲーム終了
credits_menu_button,Credits,Creditos,クレジット
credits_menu_richtext,"* Inspired by Deltarune (by Toby Fox).
([url]https://store.steampowered.com/app/1671210/DELTARUNE/[/url])

* Sewer Pack Files (by Ansimuz).
([url]https://ansimuz.itch.io/sewers-action-pack[/url])

* Starfighter Files (by Ansimuz).
([url]https://ansimuz.itch.io/star-fighter[/url])

* Warped City Files (by Ansimuz).
([url]https://ansimuz.itch.io/warped-city[/url])

* Pattern Pack 2 (by Kenney-Assets).
([url]https://kenney-assets.itch.io/pattern-pack-2[/url])

* RPG-Maker MV Assets (by Gotcha Gotcha Games, KADOKAWA and Yoji Ojima).
([url]https://rpgmakerofficial.com/en/support/rule/[/url])

* Programming and Design (by Facundo Flores).
([url]https://facuflores.itch.io/[/url])

Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
[center]The End[/center]","* Inspirado en Deltarune (de Toby Fox).
([url]https://store.steampowered.com/app/1671210/DELTARUNE/[/url])

* Archivos del Paquete de Alcantarillas (de Ansimuz).
([url]https://ansimuz.itch.io/sewers-action-pack[/url])

* Archivos de Caza Estelar (de Ansimuz).
([url]https://ansimuz.itch.io/star-fighter[/url])

* Archivos de Ciudad Distorsionada (de Ansimuz).
([url]https://ansimuz.itch.io/warped-city[/url])

* Paquete de Patrones 2 (de Kenney-Assets).
([url]https://kenney-assets.itch.io/pattern-pack-2[/url])

* Recursos de RPG Maker MV (de Gotcha Gotcha Games, KADOKAWA y Yoji Ojima).
([url]https://rpgmakerofficial.com/en/support/rule/[/url])

*Programación y Diseño (a cargo de Facundo Flores).
([url]https://facuflores.itch.io/[/url])

Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla Bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
Bla bla bla bla bla bla bla bla bla bla bla bla bla.
[center]El fin[/center]","* Deltarune（Toby Fox作）にインスパイアされています。
([url]https://store.steampowered.com/app/1671210/DELTARUNE/[/url])

* Sewer Packファイル（Ansimuz作）
([url]https://ansimuz.itch.io/sewers-action-pack[/url])

* Starfighterファイル（Ansimuz作）
([url]https://ansimuz.itch.io/star-fighter[/url])

* Warped Cityファイル（Ansimuz作）
([url]https://ansimuz.itch.io/warped-city[/url])

* Pattern Pack 2（Kenney-Assets作）
([url]https://kenney-assets.itch.io/pattern-pack-2[/url])

* RPG Maker MVアセット（Gotcha Gotcha Games、KADOKAWA、Yoji作）尾島）。
([url]https://rpgmakerofficial.com/ja/support/rule/[/url])

* プログラミングとデザイン (Facundo Flores 著)。
([url]https://facuflores.itch.io/[/url])

ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
ブラブラブラブラブラブラブラブラブラブラブラブラブラブラ。
[center]ジ・エンド[/center]"
option_menu_title_label,Option Menu,Menú de Opciones,オプションメニュー
option_menu_idiome_label,Idiome,Idioma,言語
option_menu_resolution_label,Resolution,Resolución,解像度
